time_s,index,name,x,y,z,vx,vy,vz
60,46,sat_46,2.85165e+06,-6.40486e+06,972545,3832.15,2602.66,5903.83
60,47,sat_47,4.37585e+06,97228.5,5.5626e+06,-1517.49,7271.44,1066.65
60,48,sat_48,62773,6.52046e+06,2.75313e+06,-4880.72,2257.09,-5234.35
60,49,sat_49,-4.35212e+06,4.06458e+06,-3.82599e+06,-1592.33,-5857.85,-4411.85
60,50,service_1,5.40859e+06,4.41437e+06,1.24239e+06,-3970.1,3340.33,5417.41
120,0,sat_0,7.02093e+06,540482,717244,-952.158,4479.69,5944.75
120,1,sat_1,5.15217e+06,2.92083e+06,3.87607e+06,-5145.57,3287.33,4362.44
120,2,sat_2,1.31546e+06,4.18552e+06,5.55437e+06,-7373.55,839.324,1113.82
120,3,sat_3,-3.02372e+06,3.85148e+06,5.11109e+06,-6785.09,-1929.28,-2560.24
120,4,sat_4,-6.20793e+06,2.04631e+06,2.71555e+06,-3604.95,-3960.96,-5256.37
120,5,sat_5,-7.02093e+06,-540482,-717244,952.158,-4479.69,-5944.75
120,6,sat_6,-5.15217e+06,-2.92083e+06,-3.87607e+06,5145.57,-3287.33,-4362.44
120,7,sat_7,-1.31546e+06,-4.18552e+06,-5.55437e+06,7373.55,-839.324,-1113.82
120,8,sat_8,3.02372e+06,-3.85148e+06,-5.11109e+06,6785.09,1929.28,2560.24
120,9,sat_9,6.20793e+06,-2.04631e+06,-2.71555e+06,3604.95,3960.96,5256.37
120,10,sat_10,-1.54743e+06,5.48229e+06,4.20118e+06,-4597.21,-4370.45,4009.88
120,11,sat_11,-1.57777e+06,5.45328e+06,4.22757e+06,-4585.6,-4411.06,3978.58
120,12,sat_12,-3.82099e+06,1.96049e+06,5.62641e+06,-2723.04,-6968.8,578.973
120,13,sat_13,-4.57327e+06,-2.7814e+06,4.63131e+06,562.884,-6647.45,-3436.4
120,14,sat_14,-3.09764e+06,-6.21733e+06,1.35992e+06,3611.14,-3071.56,-5817.18
120,15,sat_15,-90070.2,-6.58753e+06,-2.58773e+06,4880.24,2026.37,-5328.35
120,16,sat_16,2.96258e+06,-3.70034e+06,-5.25648e+06,3736.36,6123.19,-2204.64
120,17,sat_17,4.55011e+06,1.01696e+06,-5.32563e+06,744.582,7191.8,2009.47
120,18,sat_18,3.88728e+06,5.23132e+06,-2.76086e+06,-2615.45,4703.53,5229.77
120,19,sat_19,1.30191e+06,6.8584e+06,1.16936e+06,-4681.95,-110.979,5863.56
120,20,sat_20,-1.58396e+06,-4.05059e+06,5.58424e+06,6409.73,-3789.86,-930.903
120,21,sat_21,-4.59265e+06,-1.48533e+06,5.177e+06,4494.01,-5506.87,2406.78
120,22,sat_22,-2.0853e+06,-3.73661e+06,5.6382e+06,6246.36,-4136.59,-431.222
120,23,sat_23,2.49178e+06,-5.39366e+06,3.84701e+06,6076.65,-324.738,-4391.26
120,24,sat_24,5.88403e+06,-3.91523e+06,-386240,2233.53,3946.52,-5979.18
120,25,sat_25,5.51496e+06,124157,-4.43506e+06,-3117.28,5726.09,-3716.01
120,26,sat_26,1.50475e+06,4.097e+06,-5.57228e+06,-6431.15,3733.37,1008.26
120,27,sat_27,-3.50685e+06,5.35753e+06,-3.01645e+06,-5484.65,-736.287,5068.61
120,28,sat_28,-6.19216e+06,3.06258e+06,1.542e+06,-897.785,-4718.33,5765.9
120,29,sat_29,-4.76675e+06,-1.26571e+06,5.07701e+06,4285.39,-5568.19,2635.34
120,30,sat_30,6.18942e+06,3.07678e+06,1.52462e+06,-918.757,4707.94,-5771.1
120,31,sat_31,3.68395e+06,-2.46394e+06,5.51883e+06,5352.56,5097.2,-1297.27
120,32,sat_32,4.70247e+06,-1.3483e+06,5.11555e+06,4364.49,5546.35,-2550.2
120,33,sat_33,6.24963e+06,2.39604e+06,2.30242e+06,48.3895,5133.45,-5473.54
120,34,sat_34,3.93688e+06,5.2784e+06,-2.59606e+06,-5146.2,1219.89,-5323.8
120,35,sat_35,-1.75655e+06,3.9465e+06,-5.60711e+06,-6358.98,-3911.36,-760.879
120,36,sat_36,-5.98294e+06,-932853,-3.66528e+06,-1915.55,-5641.57,4562.64
120,37,sat_37,-4.74266e+06,-4.98693e+06,1.65462e+06,4315.33,-2202.56,5730.71
120,38,sat_38,901293,-4.42325e+06,5.45184e+06,6556.81,3288.39,1584.01
120,39,sat_39,5.71066e+06,261451,4.17372e+06,2692.22,5720.89,-4041.98
120,40,sat_40,-4.54082e+06,930705,-5.34928e+06,805.806,-7204.91,-1937.58
120,41,sat_41,-1.13138e+06,6.84932e+06,1.38086e+06,-4731.5,390.106,-5811.63
120,42,sat_42,-589844,6.75624e+06,2.02616e+06,-4840.95,1255.27,-5594.98
120,43,sat_43,-2.95385e+06,6.33204e+06,-1.1314e+06,-3744.11,-2795.79,-5871.92
120,44,sat_44,-4.60037e+06,1.77867e+06,-5.07671e+06,193.443,-7023.41,-2636.01
120,45,sat_45,-1.97548e+06,-5.04014e+06,-4.5601e+06,4409,-4932.59,3541.83
120,46,sat_46,3.07565e+06,-6.23586e+06,1.32457e+06,3632.2,3029.06,5826.34
120,47,sat_47,4.27601e+06,533024,5.61531e+06,-1809.34,7250.18,689.587
120,48,sat_48,-230000,6.6426e+06,2.43371e+06,-4875.08,1813.06,-5409.32
120,49,sat_49,-4.4388e+06,3.70513e+06,-4.08278e+06,-1295.79,-6119.94,-4145.07
120,50,service_1,5.15967e+06,4.60577e+06,1.56472e+06,-4324.64,3037.72,5323.24
180,0,sat_0,6.94964e+06,807989,1.07224e+06,-1423.42,4434.2,5884.39
180,1,sat_1,4.83322e+06,3.11203e+06,4.1298e+06,-5482.4,3083.83,4092.38
180,2,sat_2,870680,4.22738e+06,5.60992e+06,-7447.29,555.536,737.221
180,3,sat_3,-3.42443e+06,3.72801e+06,4.94724e+06,-6567.57,-2184.95,-2899.53
180,4,sat_4,-6.41153e+06,1.80467e+06,2.39488e+06,-3179.26,-4090.86,-5428.76
180,5,sat_5,-6.94964e+06,-807989,-1.07224e+06,1423.42,-4434.2,-5884.39
180,6,sat_6,-4.83322e+06,-3.11203e+06,-4.1298e+06,5482.4,-3083.83,-4092.38
180,7,sat_7,-870680,-4.22738e+06,-5.60992e+06,7447.29,-555.536,-737.221
180,8,sat_8,3.42443e+06,-3.72801e+06,-4.94724e+06,6567.57,2184.95,2899.53
180,9,sat_9,6.41153e+06,-1.80467e+06,-2.39488e+06,3179.26,4090.86,5428.76
180,10,sat_10,-1.81995e+06,5.20915e+06,4.43312e+06,-4483.62,-4731.1,3718.62
180,11,sat_11,-1.84953e+06,5.17777e+06,4.45758e+06,-4469.99,-4769.67,3685.61
180,12,sat_12,-3.97654e+06,1.53868e+06,5.64975e+06,-2460.01,-7086.83,198.6
180,13,sat_13,-4.53027e+06,-3.17435e+06,4.4159e+06,869.969,-6446.55,-3741.58
180,14,sat_14,-2.87486e+06,-6.38893e+06,1.00837e+06,3812.6,-2646.32,-5897.07
180,15,sat_15,202729,-6.45271e+06,-2.90198e+06,4876.44,2466.25,-5143.17
180,16,sat_16,3.18061e+06,-3.32572e+06,-5.37804e+06,3529.13,6360.2,-1845.91
180,17,sat_17,4.58555e+06,1.44612e+06,-5.19437e+06,436.414,7108.71,2364.34
180,18,sat_18,3.7226e+06,5.50276e+06,-2.4417e+06,-2872.15,4341.44,5405.27
180,19,sat_19,1.01855e+06,6.83787e+06,1.51857e+06,-4760.23,-572.988,5772.89
180,20,sat_20,-1.19644e+06,-4.26964e+06,5.51713e+06,6503.52,-3509.2,-1305.38
180,21,sat_21,-4.3139e+06,-1.81252e+06,5.31084e+06,4794.45,-5395.62,2053
180,22,sat_22,-1.70655e+06,-3.97708e+06,5.60094e+06,6374.27,-3876.38,-810.346
180,23,sat_23,2.85109e+06,-5.40222e+06,3.57593e+06,5896.43,39.4341,-4641.65
180,24,sat_24,6.00605e+06,-3.67068e+06,-743968,1832.45,4202.41,-5941.06
180,25,sat_25,5.3169e+06,467240,-4.6489e+06,-3482.67,5706.14,-3409.59
180,26,sat_26,1.1161e+06,4.31257e+06,-5.50056e+06,-6519.56,3449.69,1381.78
180,27,sat_27,-3.82861e+06,5.30254e+06,-2.70643e+06,-5237.21,-1095.88,5261.65
180,28,sat_28,-6.23347e+06,2.77348e+06,1.88461e+06,-478.638,-4915.2,5650.31
180,29,sat_29,-4.50016e+06,-1.59701e+06,5.22476e+06,4597.98,-5471.62,2287.84
180,30,sat_30,6.12182e+06,3.35285e+06,1.1755e+06,-1334.05,4491.05,-5862.18
180,31,sat_31,3.99744e+06,-2.15333e+06,5.42989e+06,5093.45,5252.95,-1666.6
180,32,sat_32,4.95465e+06,-1.01302e+06,4.9523e+06,4038.73,5626.01,-2889.82
180,33,sat_33,6.23989e+06,2.699e+06,1.96957e+06,-372.913,4961.58,-5617.64
180,34,sat_34,3.62035e+06,5.34086e+06,-2.91002e+06,-5401.12,861.672,-5138.06
180,35,sat_35,-2.13428e+06,3.704e+06,-5.64139e+06,-6227.74,-4169.43,-381.438
180,36,sat_36,-6.08569e+06,-1.26923e+06,-3.38429e+06,-1508.44,-5567.29,4800.44
180,37,sat_37,-4.47432e+06,-5.1089e+06,1.99488e+06,4626.24,-1862.01,5607.6
180,38,sat_38,1.29261e+06,-4.21714e+06,5.53579e+06,6482.8,3579.85,1213.37
180,39,sat_39,5.86054e+06,603944,3.92293e+06,2301.9,5691.7,-4315.1
180,40,sat_40,-4.48332e+06,496819,-5.45464e+06,1110.21,-7253.07,-1573.14
180,41,sat_41,-1.41279e+06,6.85886e+06,1.02961e+06,-4645.68,-72.3056,-5892.94
180,42,sat_42,-878912,6.81784e+06,1.68659e+06,-4791.41,797.381,-5720.22
180,43,sat_43,-3.17237e+06,6.1516e+06,-1.48119e+06,-3537.46,-3216.89,-5783.79
180,44,sat_44,-4.57947e+06,1.35395e+06,-5.22449e+06,503.102,-7129.08,-2288.53
180,45,sat_45,-1.70712e+06,-5.3257e+06,-4.33851e+06,4533.23,-4582.93,3842
180,46,sat_46,3.28722e+06,-6.04162e+06,1.67123e+06,3417.57,3443.21,5725.28
180,47,sat_47,4.15887e+06,966663,5.6453e+06,-2093.87,7199.59,309.739
180,48,sat_48,-521842,6.73788e+06,2.10445e+06,-4849.72,1361.71,-5562.4
180,49,sat_49,-4.50751e+06,3.33069e+06,-4.32306e+06,-994.008,-6357.27,-3861.52
180,50,service_1,4.88998e+06,4.77865e+06,1.88075e+06,-4661.78,2722.9,5207.65
240,0,sat_0,6.85024e+06,1.07223e+06,1.42289e+06,-1888.92,4370.78,5800.22
240,1,sat_1,4.49472e+06,3.29064e+06,4.36683e+06,-5797.06,2867.85,3805.77
240,2,sat_2,422382,4.25214e+06,5.64278e+06,-7490.91,269.5,357.639
240,3,sat_3,-3.8113e+06,3.58946e+06,4.76338e+06,-6323.49,-2431.79,-3227.09
240,4,sat_4,-6.58919e+06,1.55574e+06,2.06453e+06,-2740.71,-4204.22,-5579.19
240,5,sat_5,-6.85024e+06,-1.07223e+06,-1.42289e+06,1888.92,-4370.78,-5800.22
240,6,sat_6,-4.49472e+06,-3.29064e+06,-4.36683e+06,5797.06,-2867.85,-3805.77
240,7,sat_7,-422382,-4.25214e+06,-5.64278e+06,7490.91,-269.5,-357.639
240,8,sat_8,3.8113e+06,-3.58946e+06,-4.76338e+06,6323.49,2431.79,3227.09
240,9,sat_9,6.58919e+06,-1.55574e+06,-2.06453e+06,2740.71,4204.22,5579.19
240,10,sat_10,-2.08511e+06,4.91494e+06,4.64712e+06,-4351.89,-5072.61,3412.32
240,11,sat_11,-2.11381e+06,4.88131e+06,4.66955e+06,-4336.3,-5108.99,3377.73
240,12,sat_12,-4.116e+06,1.11064e+06,5.65023e+06,-2187.03,-7176.2,-182.576
240,13,sat_13,-4.46895e+06,-3.55446e+06,4.18262e+06,1173.54,-6219.57,-4031.63
240,14,sat_14,-2.64044e+06,-6.53468e+06,652748,3998.65,-2210.37,-5953.1
240,15,sat_15,494708,-6.29178e+06,-3.2045e+06,4852.92,2896.16,-4937.19
240,16,sat_16,3.38579e+06,-2.93763e+06,-5.47785e+06,3307.63,6571.48,-1479.72
240,17,sat_17,4.60244e+06,1.86943e+06,-5.0421e+06,126.48,6996.87,2709.64
240,18,sat_18,3.54286e+06,5.75194e+06,-2.11267e+06,-3117.24,3961.8,5558.9
240,19,sat_19,731065,6.78969e+06,1.86164e+06,-4819.25,-1032.68,5658.86
240,20,sat_20,-804068,-4.47141e+06,5.4277e+06,6571.01,-3214.34,-1674.58
240,21,sat_21,-4.01771e+06,-2.13237e+06,5.4232e+06,5075.5,-5262.55,1690.91
240,22,sat_22,-1.3209e+06,-4.20146e+06,5.54102e+06,6476.39,-3600.5,-1186.19
240,23,sat_23,3.19887e+06,-5.38893e+06,3.29039e+06,5692.35,403.447,-4873.27
240,24,sat_24,6.10377e+06,-3.41129e+06,-1.09869e+06,1423.95,4441.31,-5878.9
240,25,sat_25,5.09733e+06,808433,-4.84394e+06,-3833.96,5663.11,-3089.37
240,26,sat_26,722932,4.51069e+06,-5.40658e+06,-6581.59,3152.06,1749.7
240,27,sat_27,-4.13489e+06,5.22611e+06,-2.38547e+06,-4968.58,-1451.04,5433.42
240,28,sat_28,-6.24956e+06,2.47315e+06,2.21958e+06,-57.554,-5092.18,5511.87
240,29,sat_29,-4.21537e+06,-1.92186e+06,5.35137e+06,4891.98,-5352.92,1931.08
240,30,sat_30,6.02945e+06,3.61535e+06,821632,-1743.94,4255.99,-5929.55
240,31,sat_31,4.29476e+06,-1.83401e+06,5.31898e+06,4813.74,5387.46,-2029.19
240,32,sat_32,5.18679e+06,-673639,4.76901e+06,3696.63,5682.9,-3217.74
240,33,sat_33,6.20491e+06,2.99103e+06,1.62876e+06,-792.708,4769.65,-5739.03
240,34,sat_34,3.28918e+06,5.38173e+06,-3.21221e+06,-5634.2,499.973,-4931.55
240,35,sat_35,-2.50337e+06,3.44651e+06,-5.65285e+06,-6071.3,-4410.63,-0.455292
240,36,sat_36,-6.16383e+06,-1.60048e+06,-3.08962e+06,-1095.24,-5470.49,5018.82
240,37,sat_37,-4.18789e+06,-5.21022e+06,2.32707e+06,4918.44,-1513.92,5461.81
240,38,sat_38,1.67871e+06,-3.99396e+06,5.59734e+06,6382.57,3856.83,837.82
240,39,sat_39,5.98671e+06,943994,3.65626e+06,1902.26,5639.49,-4570.77
240,40,sat_40,-4.40768e+06,60923.8,-5.53793e+06,1410.13,-7271.88,-1202.33
240,41,sat_41,-1.68848e+06,6.84065e+06,674188,-4541.07,-534.424,-5950.41
240,42,sat_42,-1.16442e+06,6.85186e+06,1.34019e+06,-4722.48,336.268,-5822.32
240,43,sat_43,-3.37806e+06,5.94627e+06,-1.82499e+06,-3316.5,-3624.99,-5672.27
240,44,sat_44,-4.54004e+06,923759,-5.35114e+06,810.726,-7205.92,-1931.79
240,45,sat_45,-1.43186e+06,-5.58972e+06,-4.09937e+06,4639.11,-4214.72,4126.63
240,46,sat_46,3.48548e+06,-5.82295e+06,2.01114e+06,3189.11,3843.43,5601.07
